author_name,first_publish_year,key,language,title
Eleanor Burford,1750,/works/OL3931398W,eng; fin; nor; spa,The Judas Kiss
Anne Mather,1979,/works/OL3771278W,fre; und; eng,The Judas Trap
Peter F. Hamilton,2005,/works/OL474023W,ger; fre; spa; eng,Judas Unchained
Sally Wentworth,1981,/works/OL3770408W,eng,The Judas kiss
A. J. Cronin,1961,/works/OL4189800W,eng; fre,The Judas tree
Will Christopher Baer,1998,/works/OL80394W,eng,"Kiss me, Judas"
Henry Patterson,2010,/works/OL15598531W,eng,The Judas Gate
Stephen Adly Guirgis,2005,/works/OL5847753W,eng,The last days of Judas Iscariot
Elaine Pagels        ; Karen L. King,2007,/works/OL3748805W,eng,Reading Judas
Violet Winspear,1976,/works/OL14934799W,eng,The child of Judas
Marv Wolfman; George Perez,1987,/works/OL2564991W,eng,The New Teen Titans
Karl Evanzz,1992,/works/OL2274165W,eng; spa,"Factor Judas, El"
James Rollins,2007,/works/OL5727599W,eng,The Judas Strain
Taylor Caldwell,1977,/works/OL5362116W,eng; spa,"I, Judas"
Simon Mawer,2001,/works/OL1900918W,eng,The gospel of Judas
Robert B. Parker,1978,/works/OL14860123W,eng,The Judas goat
António Lobo Antunes,1979,/works/OL2071853W,fre; eng; por; ger; spa,Os cus de Judas
John Dickson Carr,1938,/works/OL4134656W,fin; eng,The Judas window
"Hare, David; David Hare",1998,/works/OL821543W,eng,The Judas Kiss
Ralph M. McInerny; Ralph McInerny; Ralph McInerny; Ralph M McInerny,1991,/works/OL57301W,eng,Judas Priest
Horace Silver,2004,/works/OL5796677W,eng,Judas pig
Carol O'Connell,1998,/works/OL2008574W,gre; ger; eng,Judas Child
Bart D. Ehrman; Bart D. Ehrman,2006,/works/OL18307W,eng,The Lost Gospel of Judas Iscariot
Jane Aiken Hodge,1976,/works/OL11068686W,eng,Judas flowering
Suzette Haden Elgin; Amy Landon; Rebecca Romney,1987,/works/OL492339W,eng,The Judas Rose
Ted Allbeury,1984,/works/OL80926W,und; eng,The Judas factor
Frank Yerby,1968,/works/OL4906753W,eng,"Judas, my brother"
Robert B. Parker,1983,/works/OL7967756W,eng,The Judas Goat
Alexander Charles Cumming,2021,/works/OL25345007W,eng,Judas 62
Michael McGarrity,2000,/works/OL62364W,eng,The Judas judge
James Rollins,2010,/works/OL17528248W,,The Judas Strain James Rollins
Katherine Anne Porter,1935,/works/OL1446721W,eng,Flowering Judas and other stories
J. T. Ellison,2009,/works/OL18345720W,eng,Judas kiss
Robert B. Parker,1983,/works/OL15411446W,eng,The Judas goat
National Geographic Society,2006,/works/OL15123791W,eng,The Gospel of Judas
Rodolphe Kasser,2006,/works/OL15861439W,eng,The Gospel of Judas
Morley Callaghan,1983,/works/OL3851082W,eng,A time for Judas
Jonathan Gash,1977,/works/OL100311W,eng,The Judas pair
Brian Callison,1978,/works/OL11276892W,eng,The Judas ship
April Smith,2008,/works/OL2983334W,eng,Judas horse
Scott McBain,2001,/works/OL261700W,eng,The Coins of Judas
Astrid Holleeder,2018,/works/OL19753466W,eng,Judas
Timothy Zahn,2006,/works/OL26413657W,eng,Blackcollar - The Judas Solution
Daniel Easterman,1994,/works/OL11345838W,eng,The Judas Testament
Jane Haddam,2011,/works/OL15921351W,eng,Flowering Judas
F. van Wyck Mason,1956,/works/OL6329850W,eng,Captain Judas
Jeff Loveness,2018,/works/OL19751199W,eng,Judas
William Klassen,1996,/works/OL3242203W,eng,Judas
Will Christopher Baer,2006,/works/OL24466388W,,"Kiss Me, Judas"
Walter Simonson,2012,/works/OL16637701W,eng,The Judas coin
James Rollins,2007,/works/OL24534024W,eng,The Judas Strain
Katherine Anne Porter,1930,/works/OL1446716W,eng,Flowering Judas
Marcel Pagnol,1956,/works/OL3171211W,fre,Judas
Gautam Sharma,1985,/works/OL351029W,guj; eng,Rah juda padya
Bill Myers,2011,/works/OL16148887W,eng,The Judas gospel
Gavin Lyall,1975,/works/OL3507757W,eng,Judas country
Zenith Jones Brown,1961,/works/OL15136181W,eng,The clue of the judas tree
עמוס עוז; Nicholas de Lange,2014,/works/OL20210849W,heb; eng,Judas
Stuart Pawson,1996,/works/OL8458731W,eng,The Judas Sheep
Ewa Kuryluk,1987,/works/OL4285984W,eng,Salome and Judas in the cave of sex
J. T. Ellison,2012,/works/OL21782190W,eng,Judas Kiss
Joan Fontcuberta,1997,/works/OL2859629W,spa,El beso de Judas
Jane Aiken Hodge,1977,/works/OL16248549W,eng,JUDAS FLOWERING (Fawcett Crest Book)
Brendan Kennelly,1991,/works/OL672426W,eng,The Book of Judas
Eilis O'Hanlon,2007,/works/OL17574062W,eng,The Judas Heart
N. T. Wright,2006,/works/OL1981302W,eng,Judas and the Gospel of Jesus
Andrew Sinclair,1959,/works/OL612377W,eng,My friend Judas
Jonathan Gash,1988,/works/OL100307W,eng,The Judas Pair (Lovejoy Mystery)
Mark Everett Stone,2013,/works/OL17857361W,eng,The Judas line
James Rollins,2007,/works/OL5727591W,eng,The Judas Strain LP
J.T. Ellison,2010,/works/OL20457547W,,Judas Kiss
Susan Gubar,2009,/works/OL16994206W,eng,Judas
Taylor Caldwell,2007,/works/OL5362090W,spa,"Yo, Judas/ I, Judas"
James Rollins,2007,/works/OL16063864W,eng,The Judas strain
Simon Raven,1968,/works/OL836097W,eng,The Judas boy
Frederick Ramsay,2010,/works/OL21009964W,eng,Judas
Howard Bahr,2006,/works/OL77894W,eng,The Judas Field
Jeffrey Archer; Francis J. Moloney,2007,/works/OL14918321W,ita; eng; por; pol,The Gospel According to Judas by Benjamin Iscariot
Gabrielle Bates,2023,/works/OL28769341W,eng,Judas Goat
James Rollins,2008,/works/OL15143986W,eng,The Judas strain
Kathryn R. Wall,2004,/works/OL5738289W,eng,Judas Island
Rodolphe Kasser; Marvin Meyer; Gregor Wurst; Bart D. Ehrman; Craig A. Evans; Gesine Schenke Robinson,2008,/works/OL18541817W,eng,The Gospel of Judas
Peter Van Greenaway,1972,/works/OL4915600W,eng,The Judas gospel
Lynda La Plante,2021,/works/OL24317641W,eng,Judas Horse
Juan Bosch,1955,/works/OL1180853W,spa,"Judas Iscariote, el calumniado"
Eric Linklater,1939,/works/OL1201280W,eng,Judas
Wayne D. Overholser,1960,/works/OL498393W,eng,The Judas gun
Elizabeth Palmer,1996,/works/OL112783W,eng,Flowering Judas
Violet Winspear,,/works/OL4440478W,,The Child of Judas
Elizabeth Judas,1942,/works/OL7655535W,eng,Rasputin
Julia O'Faolain,1992,/works/OL3601094W,eng,The Judas cloth
Brian J. Bowe,2009,/works/OL15103720W,eng,Judas Priest
Jon Sharpe,1983,/works/OL999700W,eng,Trailsman 020
Mark Healy; Richard Hook,1989,/works/OL4850366W,eng,Judas Maccabeus
Jonathan Gash,1988,/works/OL16051165W,eng,Judas pair
Norman Katkov,1991,/works/OL2929975W,eng,The Judas Kiss
D. S. Lliteras,1999,/works/OL529304W,eng,Judas the Gentile
Erich Mühsam,1924,/works/OL2564319W,eng; ger,Judas
J.T Ellison,2009,/works/OL15185165W,eng,Judas Kiss
K. K. Downing,2018,/works/OL19761390W,eng,Heavy duty
